ID;Date;T[°C];RH[%rH];
1;28/06/2022 16:30:00;26,9;68,2;
2;28/06/2022 16:40:00;27;42,2;
3;28/06/2022 16:50:00;27,2;41,6;
4;28/06/2022 17:00:00;27,2;41,4;
5;28/06/2022 17:10:00;26,7;41,8;
6;28/06/2022 17:20:00;26,9;41,4;
7;28/06/2022 17:30:00;26,3;42,4;
8;28/06/2022 17:40:00;26;42,9;
9;28/06/2022 17:50:00;25,8;43,3;
10;28/06/2022 18:00:00;25,3;44;
11;28/06/2022 18:10:00;25;45,4;
12;28/06/2022 18:20:00;24,8;45,4;
13;28/06/2022 18:30:00;25;45;
14;28/06/2022 18:40:00;25;44,8;
15;28/06/2022 18:50:00;25;44,6;
16;28/06/2022 19:00:00;24,6;45,1;
17;28/06/2022 19:10:00;24,6;45,9;
18;28/06/2022 19:20:00;24,6;45,8;
19;28/06/2022 19:30:00;24,5;46,1;
20;28/06/2022 19:40:00;24,3;46,3;
21;28/06/2022 19:50:00;24;47;
22;28/06/2022 20:00:00;24;47,5;
23;28/06/2022 20:10:00;23,8;48,1;
24;28/06/2022 20:20:00;23,7;48,2;
25;28/06/2022 20:30:00;23,6;48,5;
26;28/06/2022 20:40:00;23,5;48,8;
27;28/06/2022 20:50:00;23,4;49,1;
28;28/06/2022 21:00:00;23,3;49,1;
29;28/06/2022 21:10:00;23,2;50,1;
30;28/06/2022 21:20:00;23,1;50,7;
31;28/06/2022 21:30:00;23;51;
32;28/06/2022 21:40:00;22,9;51,4;
33;28/06/2022 21:50:00;22,9;51,8;
34;28/06/2022 22:00:00;22,8;52,2;
35;28/06/2022 22:10:00;22,7;52,7;
36;28/06/2022 22:20:00;22,6;53,3;
37;28/06/2022 22:30:00;22,5;53,3;
38;28/06/2022 22:40:00;22,4;54,3;
39;28/06/2022 22:50:00;22,3;54,5;
40;28/06/2022 23:00:00;22,3;55,2;
41;28/06/2022 23:10:00;22,2;55,7;
42;28/06/2022 23:20:00;22,2;55,9;
43;28/06/2022 23:30:00;22,1;56,3;
44;28/06/2022 23:40:00;22,1;56,9;
45;28/06/2022 23:50:00;22;57,3;
46;29/06/2022 00:00:00;22;57,1;
47;29/06/2022 00:10:00;21,9;57,5;
48;29/06/2022 00:20:00;21,9;57,3;
49;29/06/2022 00:30:00;21,8;58;
50;29/06/2022 00:40:00;21,8;58,3;
51;29/06/2022 00:50:00;21,8;58,2;
52;29/06/2022 01:00:00;21,7;57,9;
53;29/06/2022 01:10:00;21,7;57,9;
54;29/06/2022 01:20:00;21,6;58,3;
55;29/06/2022 01:30:00;21,6;58,1;
56;29/06/2022 01:40:00;21,6;58,2;
57;29/06/2022 01:50:00;21,5;57,9;
58;29/06/2022 02:00:00;21,5;58;
59;29/06/2022 02:10:00;21,5;58;
60;29/06/2022 02:20:00;21,5;57,8;
